TIME_ID,DAY_NAME,DAY_NUMBER_IN_WEEK,DAY_NUMBER_IN_MONTH,CALENDAR_WEEK_NUMBER,FISCAL_WEEK_NUMBER,WEEK_ENDING_DAY,WEEK_ENDING_DAY_ID,CALENDAR_MONTH_NUMBER,FISCAL_MONTH_NUMBER,CALENDAR_MONTH_DESC,CALENDAR_MONTH_ID,FISCAL_MONTH_DESC,FISCAL_MONTH_ID,DAYS_IN_CAL_MONTH,DAYS_IN_FIS_MONTH,END_OF_CAL_MONTH,END_OF_FIS_MONTH,CALENDAR_MONTH_NAME,FISCAL_MONTH_NAME,CALENDAR_QUARTER_DESC,CALENDAR_QUARTER_ID,FISCAL_QUARTER_DESC,FISCAL_QUARTER_ID,DAYS_IN_CAL_QUARTER,DAYS_IN_FIS_QUARTER,END_OF_CAL_QUARTER,END_OF_FIS_QUARTER,CALENDAR_QUARTER_NUMBER,FISCAL_QUARTER_NUMBER,CALENDAR_YEAR,CALENDAR_YEAR_ID,FISCAL_YEAR,FISCAL_YEAR_ID,DAYS_IN_CAL_YEAR,DAYS_IN_FIS_YEAR,END_OF_CAL_YEAR,END_OF_FIS_YEAR
11-01-98,Sunday,7,11,2,2,11-01-98,1533,1,1,1998-01,1672,1998-01,1720,31,25,31-01-98,25-01-98,January,January,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
12-01-98,Monday,1,12,3,3,18-01-98,1581,1,1,1998-01,1672,1998-01,1720,31,25,31-01-98,25-01-98,January,January,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
13-01-98,Tuesday,2,13,3,3,18-01-98,1581,1,1,1998-01,1672,1998-01,1720,31,25,31-01-98,25-01-98,January,January,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
14-01-98,Wednesday,3,14,3,3,18-01-98,1581,1,1,1998-01,1672,1998-01,1720,31,25,31-01-98,25-01-98,January,January,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
15-01-98,Thursday,4,15,3,3,18-01-98,1581,1,1,1998-01,1672,1998-01,1720,31,25,31-01-98,25-01-98,January,January,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
16-01-98,Friday,5,16,3,3,18-01-98,1581,1,1,1998-01,1672,1998-01,1720,31,25,31-01-98,25-01-98,January,January,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
17-01-98,Saturday,6,17,3,3,18-01-98,1581,1,1,1998-01,1672,1998-01,1720,31,25,31-01-98,25-01-98,January,January,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
18-01-98,Sunday,7,18,3,3,18-01-98,1581,1,1,1998-01,1672,1998-01,1720,31,25,31-01-98,25-01-98,January,January,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
19-01-98,Monday,1,19,4,4,25-01-98,1629,1,1,1998-01,1672,1998-01,1720,31,25,31-01-98,25-01-98,January,January,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
20-01-98,Tuesday,2,20,4,4,25-01-98,1629,1,1,1998-01,1672,1998-01,1720,31,25,31-01-98,25-01-98,January,January,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
21-01-98,Wednesday,3,21,4,4,25-01-98,1629,1,1,1998-01,1672,1998-01,1720,31,25,31-01-98,25-01-98,January,January,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
22-01-98,Thursday,4,22,4,4,25-01-98,1629,1,1,1998-01,1672,1998-01,1720,31,25,31-01-98,25-01-98,January,January,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
23-01-98,Friday,5,23,4,4,25-01-98,1629,1,1,1998-01,1672,1998-01,1720,31,25,31-01-98,25-01-98,January,January,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
24-01-98,Saturday,6,24,4,4,25-01-98,1629,1,1,1998-01,1672,1998-01,1720,31,25,31-01-98,25-01-98,January,January,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
25-01-98,Sunday,7,25,4,4,25-01-98,1629,1,1,1998-01,1672,1998-01,1720,31,25,31-01-98,25-01-98,January,January,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
26-01-98,Monday,1,26,5,5,01-02-98,1464,1,2,1998-01,1672,1998-02,1721,31,28,31-01-98,22-02-98,January,February,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
27-01-98,Tuesday,2,27,5,5,01-02-98,1464,1,2,1998-01,1672,1998-02,1721,31,28,31-01-98,22-02-98,January,February,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
28-01-98,Wednesday,3,28,5,5,01-02-98,1464,1,2,1998-01,1672,1998-02,1721,31,28,31-01-98,22-02-98,January,February,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
29-01-98,Thursday,4,29,5,5,01-02-98,1464,1,2,1998-01,1672,1998-02,1721,31,28,31-01-98,22-02-98,January,February,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
30-01-98,Friday,5,30,5,5,01-02-98,1464,1,2,1998-01,1672,1998-02,1721,31,28,31-01-98,22-02-98,January,February,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
31-01-98,Saturday,6,31,5,5,01-02-98,1464,1,2,1998-01,1672,1998-02,1721,31,28,31-01-98,22-02-98,January,February,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
01-02-98,Sunday,7,1,5,5,01-02-98,1464,2,2,1998-02,1673,1998-02,1721,28,28,28-02-98,22-02-98,February,February,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
02-02-98,Monday,1,2,6,6,08-02-98,1513,2,2,1998-02,1673,1998-02,1721,28,28,28-02-98,22-02-98,February,February,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
03-02-98,Tuesday,2,3,6,6,08-02-98,1513,2,2,1998-02,1673,1998-02,1721,28,28,28-02-98,22-02-98,February,February,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
04-02-98,Wednesday,3,4,6,6,08-02-98,1513,2,2,1998-02,1673,1998-02,1721,28,28,28-02-98,22-02-98,February,February,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
05-02-98,Thursday,4,5,6,6,08-02-98,1513,2,2,1998-02,1673,1998-02,1721,28,28,28-02-98,22-02-98,February,February,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
06-02-98,Friday,5,6,6,6,08-02-98,1513,2,2,1998-02,1673,1998-02,1721,28,28,28-02-98,22-02-98,February,February,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
07-02-98,Saturday,6,7,6,6,08-02-98,1513,2,2,1998-02,1673,1998-02,1721,28,28,28-02-98,22-02-98,February,February,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
08-02-98,Sunday,7,8,6,6,08-02-98,1513,2,2,1998-02,1673,1998-02,1721,28,28,28-02-98,22-02-98,February,February,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
09-02-98,Monday,1,9,7,7,15-02-98,1561,2,2,1998-02,1673,1998-02,1721,28,28,28-02-98,22-02-98,February,February,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
10-02-98,Tuesday,2,10,7,7,15-02-98,1561,2,2,1998-02,1673,1998-02,1721,28,28,28-02-98,22-02-98,February,February,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
11-02-98,Wednesday,3,11,7,7,15-02-98,1561,2,2,1998-02,1673,1998-02,1721,28,28,28-02-98,22-02-98,February,February,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
12-02-98,Thursday,4,12,7,7,15-02-98,1561,2,2,1998-02,1673,1998-02,1721,28,28,28-02-98,22-02-98,February,February,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
13-02-98,Friday,5,13,7,7,15-02-98,1561,2,2,1998-02,1673,1998-02,1721,28,28,28-02-98,22-02-98,February,February,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
14-02-98,Saturday,6,14,7,7,15-02-98,1561,2,2,1998-02,1673,1998-02,1721,28,28,28-02-98,22-02-98,February,February,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
15-02-98,Sunday,7,15,7,7,15-02-98,1561,2,2,1998-02,1673,1998-02,1721,28,28,28-02-98,22-02-98,February,February,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
16-02-98,Monday,1,16,8,8,22-02-98,1609,2,2,1998-02,1673,1998-02,1721,28,28,28-02-98,22-02-98,February,February,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
17-02-98,Tuesday,2,17,8,8,22-02-98,1609,2,2,1998-02,1673,1998-02,1721,28,28,28-02-98,22-02-98,February,February,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
18-02-98,Wednesday,3,18,8,8,22-02-98,1609,2,2,1998-02,1673,1998-02,1721,28,28,28-02-98,22-02-98,February,February,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
19-02-98,Thursday,4,19,8,8,22-02-98,1609,2,2,1998-02,1673,1998-02,1721,28,28,28-02-98,22-02-98,February,February,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
20-02-98,Friday,5,20,8,8,22-02-98,1609,2,2,1998-02,1673,1998-02,1721,28,28,28-02-98,22-02-98,February,February,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
21-02-98,Saturday,6,21,8,8,22-02-98,1609,2,2,1998-02,1673,1998-02,1721,28,28,28-02-98,22-02-98,February,February,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
22-02-98,Sunday,7,22,8,8,22-02-98,1609,2,2,1998-02,1673,1998-02,1721,28,28,28-02-98,22-02-98,February,February,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
23-02-98,Monday,1,23,9,9,01-03-98,1466,2,3,1998-02,1673,1998-03,1722,28,35,28-02-98,29-03-98,February,March,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
24-02-98,Tuesday,2,24,9,9,01-03-98,1466,2,3,1998-02,1673,1998-03,1722,28,35,28-02-98,29-03-98,February,March,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
25-02-98,Wednesday,3,25,9,9,01-03-98,1466,2,3,1998-02,1673,1998-03,1722,28,35,28-02-98,29-03-98,February,March,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
26-02-98,Thursday,4,26,9,9,01-03-98,1466,2,3,1998-02,1673,1998-03,1722,28,35,28-02-98,29-03-98,February,March,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
27-02-98,Friday,5,27,9,9,01-03-98,1466,2,3,1998-02,1673,1998-03,1722,28,35,28-02-98,29-03-98,February,March,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
28-02-98,Saturday,6,28,9,9,01-03-98,1466,2,3,1998-02,1673,1998-03,1722,28,35,28-02-98,29-03-98,February,March,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
01-03-98,Sunday,7,1,9,9,01-03-98,1466,3,3,1998-03,1674,1998-03,1722,31,35,31-03-98,29-03-98,March,March,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
02-03-98,Monday,1,2,10,10,08-03-98,1515,3,3,1998-03,1674,1998-03,1722,31,35,31-03-98,29-03-98,March,March,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
03-03-98,Tuesday,2,3,10,10,08-03-98,1515,3,3,1998-03,1674,1998-03,1722,31,35,31-03-98,29-03-98,March,March,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
04-03-98,Wednesday,3,4,10,10,08-03-98,1515,3,3,1998-03,1674,1998-03,1722,31,35,31-03-98,29-03-98,March,March,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
05-03-98,Thursday,4,5,10,10,08-03-98,1515,3,3,1998-03,1674,1998-03,1722,31,35,31-03-98,29-03-98,March,March,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
06-03-98,Friday,5,6,10,10,08-03-98,1515,3,3,1998-03,1674,1998-03,1722,31,35,31-03-98,29-03-98,March,March,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
07-03-98,Saturday,6,7,10,10,08-03-98,1515,3,3,1998-03,1674,1998-03,1722,31,35,31-03-98,29-03-98,March,March,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
08-03-98,Sunday,7,8,10,10,08-03-98,1515,3,3,1998-03,1674,1998-03,1722,31,35,31-03-98,29-03-98,March,March,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
09-03-98,Monday,1,9,11,11,15-03-98,1563,3,3,1998-03,1674,1998-03,1722,31,35,31-03-98,29-03-98,March,March,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
10-03-98,Tuesday,2,10,11,11,15-03-98,1563,3,3,1998-03,1674,1998-03,1722,31,35,31-03-98,29-03-98,March,March,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
11-03-98,Wednesday,3,11,11,11,15-03-98,1563,3,3,1998-03,1674,1998-03,1722,31,35,31-03-98,29-03-98,March,March,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
12-03-98,Thursday,4,12,11,11,15-03-98,1563,3,3,1998-03,1674,1998-03,1722,31,35,31-03-98,29-03-98,March,March,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
13-03-98,Friday,5,13,11,11,15-03-98,1563,3,3,1998-03,1674,1998-03,1722,31,35,31-03-98,29-03-98,March,March,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
14-03-98,Saturday,6,14,11,11,15-03-98,1563,3,3,1998-03,1674,1998-03,1722,31,35,31-03-98,29-03-98,March,March,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
15-03-98,Sunday,7,15,11,11,15-03-98,1563,3,3,1998-03,1674,1998-03,1722,31,35,31-03-98,29-03-98,March,March,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
16-03-98,Monday,1,16,12,12,22-03-98,1611,3,3,1998-03,1674,1998-03,1722,31,35,31-03-98,29-03-98,March,March,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
17-03-98,Tuesday,2,17,12,12,22-03-98,1611,3,3,1998-03,1674,1998-03,1722,31,35,31-03-98,29-03-98,March,March,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
18-03-98,Wednesday,3,18,12,12,22-03-98,1611,3,3,1998-03,1674,1998-03,1722,31,35,31-03-98,29-03-98,March,March,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
19-03-98,Thursday,4,19,12,12,22-03-98,1611,3,3,1998-03,1674,1998-03,1722,31,35,31-03-98,29-03-98,March,March,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
20-03-98,Friday,5,20,12,12,22-03-98,1611,3,3,1998-03,1674,1998-03,1722,31,35,31-03-98,29-03-98,March,March,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
21-03-98,Saturday,6,21,12,12,22-03-98,1611,3,3,1998-03,1674,1998-03,1722,31,35,31-03-98,29-03-98,March,March,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
22-03-98,Sunday,7,22,12,12,22-03-98,1611,3,3,1998-03,1674,1998-03,1722,31,35,31-03-98,29-03-98,March,March,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
23-03-98,Monday,1,23,13,13,29-03-98,1658,3,3,1998-03,1674,1998-03,1722,31,35,31-03-98,29-03-98,March,March,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
24-03-98,Tuesday,2,24,13,13,29-03-98,1658,3,3,1998-03,1674,1998-03,1722,31,35,31-03-98,29-03-98,March,March,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
25-03-98,Wednesday,3,25,13,13,29-03-98,1658,3,3,1998-03,1674,1998-03,1722,31,35,31-03-98,29-03-98,March,March,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
26-03-98,Thursday,4,26,13,13,29-03-98,1658,3,3,1998-03,1674,1998-03,1722,31,35,31-03-98,29-03-98,March,March,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
27-03-98,Friday,5,27,13,13,29-03-98,1658,3,3,1998-03,1674,1998-03,1722,31,35,31-03-98,29-03-98,March,March,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
28-03-98,Saturday,6,28,13,13,29-03-98,1658,3,3,1998-03,1674,1998-03,1722,31,35,31-03-98,29-03-98,March,March,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
29-03-98,Sunday,7,29,13,13,29-03-98,1658,3,3,1998-03,1674,1998-03,1722,31,35,31-03-98,29-03-98,March,March,1998-01,1769,1998-01,1785,90,88,31-03-98,29-03-98,1,1,1998,1802,1998,1806,365,361,31-12-98,27-12-98
30-03-98,Monday,1,30,14,14,05-04-98,1490,3,4,1998-03,1674,1998-04,1723,31,28,31-03-98,26-04-98,March,April,1998-01,1769,1998-02,1786,90,91,31-03-98,28-06-98,1,2,1998,1802,1998,1806,365,361,31-12-98,27-12-98
31-03-98,Tuesday,2,31,14,14,05-04-98,1490,3,4,1998-03,1674,1998-04,1723,31,28,31-03-98,26-04-98,March,April,1998-01,1769,1998-02,1786,90,91,31-03-98,28-06-98,1,2,1998,1802,1998,1806,365,361,31-12-98,27-12-98
01-04-98,Wednesday,3,1,14,14,05-04-98,1490,4,4,1998-04,1675,1998-04,1723,30,28,30-04-98,26-04-98,April,April,1998-02,1770,1998-02,1786,91,91,30-06-98,28-06-98,2,2,1998,1802,1998,1806,365,361,31-12-98,27-12-98
02-04-98,Thursday,4,2,14,14,05-04-98,1490,4,4,1998-04,1675,1998-04,1723,30,28,30-04-98,26-04-98,April,April,1998-02,1770,1998-02,1786,91,91,30-06-98,28-06-98,2,2,1998,1802,1998,1806,365,361,31-12-98,27-12-98
03-04-98,Friday,5,3,14,14,05-04-98,1490,4,4,1998-04,1675,1998-04,1723,30,28,30-04-98,26-04-98,April,April,1998-02,1770,1998-02,1786,91,91,30-06-98,28-06-98,2,2,1998,1802,1998,1806,365,361,31-12-98,27-12-98
04-04-98,Saturday,6,4,14,14,05-04-98,1490,4,4,1998-04,1675,1998-04,1723,30,28,30-04-98,26-04-98,April,April,1998-02,1770,1998-02,1786,91,91,30-06-98,28-06-98,2,2,1998,1802,1998,1806,365,361,31-12-98,27-12-98
05-04-98,Sunday,7,5,14,14,05-04-98,1490,4,4,1998-04,1675,1998-04,1723,30,28,30-04-98,26-04-98,April,April,1998-02,1770,1998-02,1786,91,91,30-06-98,28-06-98,2,2,1998,1802,1998,1806,365,361,31-12-98,27-12-98
06-04-98,Monday,1,6,15,15,12-04-98,1539,4,4,1998-04,1675,1998-04,1723,30,28,30-04-98,26-04-98,April,April,1998-02,1770,1998-02,1786,91,91,30-06-98,28-06-98,2,2,1998,1802,1998,1806,365,361,31-12-98,27-12-98
07-04-98,Tuesday,2,7,15,15,12-04-98,1539,4,4,1998-04,1675,1998-04,1723,30,28,30-04-98,26-04-98,April,April,1998-02,1770,1998-02,1786,91,91,30-06-98,28-06-98,2,2,1998,1802,1998,1806,365,361,31-12-98,27-12-98
